Karmn,Name,RA_J2000,DE_J2000,Ref01,muRA_masa-1,muDE_masa-1,Ref07,pi_mas,Ref08,Vr_kms-1,Ref10,BP_mag,Ref25,RP_mag,Ref32,Gaia_id
J00169+200,G 131-047A,00:16:56.75,+20:03:55.4,DR3,238.88508714923,17.6659154338102,DR3,29.3101771151183,DR3,0.577,DR3,14.1608,DR3,11.3945,PS1,2797755371790591616
J00173+291,Ross 680,00:17:20.32,+29:10:58.8,DR3,691.14540638935,427.735839473982,DR3,43.7732968011662,DR3,-8.692,DR3,11.7516,DR3,9.5308,UCAC4,2860379125997924480
J00176-086,BD-09 40,00:17:40.91,-08:40:56.1,DR3,303.695713502739,20.632322226708,DR3,31.2041603229162,DR3,6.877,DR3,11.2194,DR3,9.3104,UCAC4,2428543391568696960
J00179+209,G 131-51,00:17:59.16,+20:57:24.5,DR3,-252.047048899462,-366.919719624535,DR3,36.0950878247784,DR3,-49.242,DR3,11.316,DR3,9.4461,SDSS9,2799371898696899328
J00182+102,GJ 16,00:18:16.59,+10:12:10.0,DR3,2.07520585449831,-29.5577835152716,DR3,59.6289558583946,DR3,-15.452,DR3,11.1347,DR3,8.9531,UCAC4,2752746111688997248
J00183+440,GX And,00:18:22.88,+44:01:22.6,DR3,2891.51807733678,411.832020366147,DR3,280.706821579123,DR3,11.367,DR3,8.3321,DR3,6.1677,PS1,385334230892516480
J00184+440,GQ And,00:18:25.82,+44:01:38.1,DR3,2862.79642649738,336.431903718565,DR3,280.694731046025,DR3,10.604,DR3,11.2915,DR3,8.4555,PS1,385334196532776576
J00188+278,LP 292-066,00:18:53.59,+27:48:49.9,DR3,394.367458655627,-112.135787225049,DR3,53.0616000997519,DR3,5.621,DR3,14.126,DR3,11.2649,UCAC4,2856874535763703680
J00190-099,BD-10 47,00:19:05.56,-09:57:53.5,DR3,-36.3254073735304,-301.491306882416,DR3,49.4757490031547,DR3,-10.718,DR3,10.1249,DR3,8.4346,UCAC4,2428162410789155328
J00201-170,LP 764-108,00:20:08.38,-17:03:41.0,DR3,141.902927773924,-13.3703934623333,DR3,43.7864879642199,DR3,30.477,DR3,11.9021,DR3,9.8238,UCAC4,2367938722962185088
